,Match_Product,Combined_Rating,Recomendaation_Score
13,one plus x pro,8.707901390644754,8.855530973451327
7,vivo-z1-pro,8.412755102040816,8.55892857142857
10,one plus 2,8.24145755472504,8.349020288307527
9,one plus 2,8.11010101010101,8.257070707070707
5,nokia1100,7.921097046413502,8.06476793248945
4,vivo-v1-pro,7.821533161068046,7.965073212747632
0,samsung mobile-g56,7.821477663230241,7.965034364261169
1,samsung mobile-g56,7.144909560723515,7.49143669250646
14,nokia1221,7.026041666666667,7.168229166666666
6,samsung mobile-a5,7.023786869647954,7.166650808753568
11,real me max pro,5.803986605007175,5.952790623505022
8,lg-pro-max,5.727322404371585,5.869125683060108
12,real me max 2.2,5.627412280701754,5.769188596491228
3,samsung mobile-h56,4.943630017452008,5.080541012216406
2,vivo-1213,3.7554323725055436,3.88880266075388
